time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
18100,29.0,206.0,0.05,0.08,50.0,0.59,25,81,59,0
18110,29.0,206.0,0.05,0.08,50.0,0.59,26,81,59,0
18120,29.0,206.0,0.05,0.08,50.0,0.59,27,81,66,0
18130,29.0,206.0,0.05,0.08,50.0,0.59,25,81,66,0
18140,29.0,206.0,0.05,0.08,50.0,0.59,27,81,66,0
18150,29.0,206.0,0.05,0.08,50.0,0.59,25,81,66,0
18160,29.0,206.0,0.05,0.08,50.0,0.59,24,81,66,0
18180,105.0,202.0,0.23,0.29,100.0,0.3,22,81,64,0
18190,105.0,202.0,0.23,0.29,100.0,0.3,24,81,64,0
18200,105.0,202.0,0.23,0.29,100.0,0.3,25,81,64,0
18210,105.0,202.0,0.23,0.29,100.0,0.3,24,79,64,0
18220,105.0,202.0,0.23,0.29,100.0,0.3,24,78,64,0
52040,98.0,107.0,0.05,0.05,100.0,0.1,27,79,47,0
52050,98.0,107.0,0.05,0.05,100.0,0.1,28,79,47,0
52060,98.0,107.0,0.05,0.05,100.0,0.1,28,79,47,0
52070,98.0,107.0,0.05,0.05,100.0,0.1,26,80,47,0
52080,98.0,107.0,0.05,0.05,100.0,0.1,26,80,49,0
52090,98.0,107.0,0.05,0.05,100.0,0.1,28,79,49,0
52100,98.0,107.0,0.05,0.05,100.0,0.1,27,79,49,0
52110,98.0,107.0,0.05,0.05,100.0,0.1,27,79,49,0
52200,7.0,34.0,0.02,0.02,100.0,0.19,26,80,44,0
52210,7.0,34.0,0.02,0.02,100.0,0.19,29,80,44,0
59040,120.0,195.0,0.14,0.32,100.0,0.16,39,86,58,0
59050,120.0,195.0,0.14,0.32,100.0,0.16,37,86,58,0
59060,120.0,195.0,0.14,0.32,100.0,0.16,36,86,58,0
59070,120.0,195.0,0.14,0.32,100.0,0.16,35,87,58,0
59080,120.0,195.0,0.14,0.32,100.0,0.16,35,87,58,0
59090,120.0,195.0,0.14,0.32,100.0,0.16,34,86,58,0
59100,120.0,195.0,0.14,0.32,100.0,0.16,37,87,62,0
59110,120.0,195.0,0.14,0.32,100.0,0.16,37,86,62,0
59120,120.0,195.0,0.14,0.32,100.0,0.16,31,86,62,0
59130,120.0,195.0,0.14,0.32,100.0,0.16,29,85,62,0
59140,120.0,195.0,0.14,0.32,100.0,0.16,33,85,62,0
59150,120.0,195.0,0.14,0.32,100.0,0.16,33,85,62,0
59160,120.0,195.0,0.14,0.32,100.0,0.16,32,86,59,0
59170,120.0,195.0,0.14,0.32,100.0,0.16,35,86,59,0
59180,120.0,195.0,0.14,0.32,100.0,0.16,36,86,59,0
59190,120.0,195.0,0.14,0.32,100.0,0.16,38,86,59,0
59200,120.0,195.0,0.14,0.32,100.0,0.16,35,85,59,0
59210,120.0,195.0,0.14,0.32,100.0,0.16,40,85,59,0
59220,120.0,195.0,0.14,0.32,100.0,0.16,36,85,65,0
59230,120.0,195.0,0.14,0.32,100.0,0.16,37,86,65,0
59240,120.0,195.0,0.14,0.32,100.0,0.16,38,86,65,0
59250,120.0,195.0,0.14,0.32,100.0,0.16,34,86,65,0
59260,120.0,195.0,0.14,0.32,100.0,0.16,34,85,65,0
59270,120.0,195.0,0.14,0.32,100.0,0.16,33,85,65,0
59280,120.0,195.0,0.14,0.32,100.0,0.16,32,85,57,0
59290,120.0,195.0,0.14,0.32,100.0,0.16,33,85,57,0
59300,120.0,195.0,0.14,0.32,100.0,0.16,34,85,57,0
59310,120.0,195.0,0.14,0.32,100.0,0.16,31,85,57,0
59320,120.0,195.0,0.14,0.32,100.0,0.16,29,85,57,0
59330,120.0,195.0,0.14,0.32,100.0,0.16,31,85,57,0
59340,120.0,195.0,0.14,0.32,100.0,0.16,30,85,57,0
59350,120.0,195.0,0.14,0.32,100.0,0.16,33,85,57,0
59360,120.0,195.0,0.14,0.32,100.0,0.16,36,85,57,0
59370,120.0,195.0,0.14,0.32,100.0,0.16,38,85,57,0
59920,122.0,199.0,0.15,0.33,100.0,0.16,25,84,67,0
59930,122.0,199.0,0.15,0.33,100.0,0.16,23,84,67,0
59940,122.0,199.0,0.15,0.33,100.0,0.16,25,85,57,0
59950,122.0,199.0,0.15,0.33,100.0,0.16,32,85,57,0
59960,122.0,199.0,0.15,0.33,100.0,0.16,26,84,57,0
59970,122.0,199.0,0.15,0.33,100.0,0.16,21,84,57,0
59980,122.0,199.0,0.15,0.33,100.0,0.16,19,84,57,0
59990,122.0,199.0,0.15,0.33,100.0,0.16,20,84,57,0
60000,122.0,199.0,0.15,0.33,100.0,0.16,25,85,60,0
60010,122.0,199.0,0.15,0.33,100.0,0.16,25,85,60,0
60020,122.0,199.0,0.15,0.33,100.0,0.16,24,85,60,0
60030,122.0,199.0,0.15,0.33,100.0,0.16,24,85,60,0
60040,122.0,199.0,0.15,0.33,100.0,0.16,23,85,60,0
60050,122.0,199.0,0.15,0.33,100.0,0.16,23,84,60,0
60060,122.0,199.0,0.15,0.33,100.0,0.16,23,85,56,0
60070,122.0,199.0,0.15,0.33,100.0,0.16,24,84,56,0
60080,122.0,199.0,0.15,0.33,100.0,0.16,22,84,56,0
60090,122.0,199.0,0.15,0.33,100.0,0.16,24,84,56,0
60100,122.0,199.0,0.15,0.33,100.0,0.16,22,84,56,0
60110,122.0,199.0,0.15,0.33,100.0,0.16,22,84,56,0
60120,122.0,199.0,0.15,0.33,100.0,0.16,22,83,61,0
60130,122.0,199.0,0.15,0.33,100.0,0.16,21,83,61,0
60140,122.0,199.0,0.15,0.33,100.0,0.16,19,83,61,0
60150,122.0,199.0,0.15,0.33,100.0,0.16,21,84,61,0
60160,122.0,199.0,0.15,0.33,100.0,0.16,23,84,61,0
60170,122.0,199.0,0.15,0.33,100.0,0.16,22,84,61,0
60180,122.0,199.0,0.15,0.33,100.0,0.16,22,84,57,0
60190,122.0,199.0,0.15,0.33,100.0,0.16,24,84,57,0
60200,122.0,199.0,0.15,0.33,100.0,0.16,24,84,57,0
60210,122.0,199.0,0.15,0.33,100.0,0.16,23,84,57,0
60220,122.0,199.0,0.15,0.33,100.0,0.16,23,84,57,0
60230,122.0,199.0,0.15,0.33,100.0,0.16,26,85,57,0
60240,122.0,199.0,0.15,0.33,100.0,0.16,23,84,61,0
60250,122.0,199.0,0.15,0.33,100.0,0.16,25,85,61,0
60260,122.0,199.0,0.15,0.33,100.0,0.16,26,85,61,0
60270,122.0,199.0,0.15,0.33,100.0,0.16,29,82,61,0
