time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
18100,15.0,54.0,0.03,0.04,50.0,0.59,29,86,62,0
18110,32.0,152.0,0.05,0.08,50.0,0.59,32,86,62,0
18120,32.0,152.0,0.05,0.08,50.0,0.59,35,86,55,0
18130,32.0,152.0,0.05,0.08,50.0,0.59,35,86,55,0
18140,32.0,152.0,0.05,0.08,50.0,0.59,34,86,55,0
18150,32.0,152.0,0.05,0.08,50.0,0.59,33,86,55,0
18160,32.0,152.0,0.05,0.08,50.0,0.59,34,86,55,0
18180,107.0,199.0,0.3,0.48,100.0,0.3,31,86,54,0
18190,107.0,199.0,0.3,0.48,100.0,0.3,33,86,54,0
18200,107.0,199.0,0.3,0.48,100.0,0.3,32,86,54,0
18210,107.0,199.0,0.3,0.48,100.0,0.3,32,86,54,0
18220,107.0,199.0,0.3,0.48,100.0,0.3,31,86,54,0
18230,107.0,199.0,0.3,0.48,100.0,0.3,36,85,54,0
18240,107.0,199.0,0.3,0.48,100.0,0.3,31,86,62,0
18250,107.0,199.0,0.3,0.48,100.0,0.3,32,86,62,0
18260,107.0,199.0,0.3,0.48,100.0,0.3,31,86,62,0
18270,107.0,199.0,0.3,0.48,100.0,0.3,28,85,62,0
18280,107.0,199.0,0.3,0.48,100.0,0.3,30,86,62,0
18290,107.0,199.0,0.3,0.48,100.0,0.3,29,86,62,0
18300,107.0,199.0,0.3,0.48,100.0,0.3,31,85,59,0
18310,107.0,199.0,0.3,0.48,100.0,0.3,29,85,59,0
18320,107.0,199.0,0.3,0.48,100.0,0.3,27,85,59,0
18330,107.0,199.0,0.3,0.48,100.0,0.3,30,85,59,0
18340,107.0,199.0,0.3,0.48,100.0,0.3,27,85,59,0
18350,107.0,199.0,0.3,0.48,100.0,0.3,24,85,59,0
18360,107.0,199.0,0.3,0.48,100.0,0.3,26,86,52,0
18370,107.0,199.0,0.3,0.48,100.0,0.3,29,85,52,0
18380,107.0,199.0,0.3,0.48,100.0,0.3,29,85,52,0
18390,107.0,199.0,0.3,0.48,100.0,0.3,34,86,52,0
18400,107.0,199.0,0.3,0.48,100.0,0.3,30,86,52,0
18410,107.0,199.0,0.3,0.48,100.0,0.3,30,86,52,0
18420,107.0,199.0,0.3,0.48,100.0,0.3,31,84,55,0
18430,107.0,199.0,0.3,0.48,100.0,0.3,31,84,55,0
50850,116.0,193.0,0.14,0.33,100.0,0.16,40,85,34,0
50860,116.0,193.0,0.14,0.33,100.0,0.16,39,85,34,0
50870,116.0,193.0,0.14,0.33,100.0,0.16,39,86,34,0
50880,116.0,193.0,0.14,0.33,100.0,0.16,45,86,36,0
50890,116.0,193.0,0.14,0.33,100.0,0.16,50,85,36,0
50900,116.0,193.0,0.14,0.33,100.0,0.16,42,85,36,0
50910,116.0,193.0,0.14,0.33,100.0,0.16,33,83,36,0
50920,116.0,193.0,0.14,0.33,100.0,0.16,42,83,36,0
50930,116.0,193.0,0.14,0.33,100.0,0.16,37,82,36,0
50940,116.0,193.0,0.14,0.33,100.0,0.16,31,83,33,0
50950,116.0,193.0,0.14,0.33,100.0,0.16,42,83,33,0
50960,116.0,193.0,0.14,0.33,100.0,0.16,38,83,33,0
50970,116.0,193.0,0.14,0.33,100.0,0.16,34,84,33,0
50980,116.0,193.0,0.14,0.33,100.0,0.16,41,83,33,0
50990,116.0,193.0,0.14,0.33,100.0,0.16,41,83,33,0
51000,116.0,193.0,0.14,0.33,100.0,0.16,37,83,35,0
51010,116.0,193.0,0.14,0.33,100.0,0.16,46,83,35,0
51020,116.0,193.0,0.14,0.33,100.0,0.16,46,84,35,0
51030,116.0,193.0,0.14,0.33,100.0,0.16,32,83,35,0
51040,116.0,193.0,0.14,0.33,100.0,0.16,34,83,35,0
51050,116.0,193.0,0.14,0.33,100.0,0.16,43,83,35,0
51060,116.0,193.0,0.14,0.33,100.0,0.16,36,84,31,0
51070,116.0,193.0,0.14,0.33,100.0,0.16,36,84,31,0
51080,116.0,193.0,0.14,0.33,100.0,0.16,42,84,31,0
51090,116.0,193.0,0.14,0.33,100.0,0.16,37,84,31,0
51100,116.0,193.0,0.14,0.33,100.0,0.16,29,83,31,0
51110,116.0,193.0,0.14,0.33,100.0,0.16,41,83,31,0
51120,116.0,193.0,0.14,0.33,100.0,0.16,39,83,30,0
51130,116.0,193.0,0.14,0.33,100.0,0.16,31,83,30,0
51140,116.0,193.0,0.14,0.33,100.0,0.16,39,83,30,0
51150,116.0,193.0,0.14,0.33,100.0,0.16,40,83,30,0
51160,116.0,193.0,0.14,0.33,100.0,0.16,29,83,30,0
51170,116.0,193.0,0.14,0.33,100.0,0.16,39,83,30,0
51180,116.0,193.0,0.14,0.33,100.0,0.16,37,82,28,0
51190,116.0,193.0,0.14,0.33,100.0,0.16,30,82,28,0
51200,116.0,193.0,0.14,0.33,100.0,0.16,28,82,28,0
51210,116.0,193.0,0.14,0.33,100.0,0.16,30,82,28,0
51220,116.0,193.0,0.14,0.33,100.0,0.16,39,82,28,0
51230,116.0,193.0,0.14,0.33,100.0,0.16,33,81,28,0
51240,116.0,193.0,0.14,0.33,100.0,0.16,29,81,30,0
51250,116.0,193.0,0.14,0.33,100.0,0.16,45,82,30,0
51260,116.0,193.0,0.14,0.33,100.0,0.16,42,82,30,0
51270,116.0,193.0,0.14,0.33,100.0,0.16,33,82,30,0
51280,116.0,193.0,0.14,0.33,100.0,0.16,45,82,30,0
